,Period,This Period,This Period,Last Period,Last Period
,Item,Items sold,% change,Items sold,% change
254,Strawberries on the cookie doughb,1,,,
255,Strawberries on vqnlla scoop ice cream,1,,,
256,Strawberryies,1,,,
257,Test,1,,,
258,Wippy,1,,,
259,Green Tea,,,3,
260,Kit Kat,,,3,
261,Chicken Parmeason,,,2,
262,Cookies & Cream,,,2,
263,Pratha (2),,,2,
264,Red Velvet Latte,,,2,
265,Terry Chocolate Orange,,,2,
266,Veggie Burger,,,2,
267,Biscoff crumbs and sauce,,,1,
268,Biscoff crumbs on crepe,,,1,
269,Breakfast Bowl,,,1,
270,Db,,,1,
271,Egg Avocado Croissant,,,1,
272,Ex kunafeh on browni,,,1,
273,Ex kunafeh on the cup,,,1,
274,Ex nutella sauce on waffle,,,1,
275,Ex white choc sauce on the cookie dough,,,1,
276,Extra caramel,,,1,
277,Extra chicken,,,1,
278,Extra katafi mix,,,1,
279,French Macaroons,,,1,
280,Golden Bicoffee Swirl,,,1,
281,Hazelnut Syrup,,,1,
282,Irn Bru,,,1,
283,Melty Cheese Burger,,,1,
284,O,,,1,
285,Oat Milk,,,1,
286,Pasta,,,1,
287,Qwhippy,,,1,
288,Sauce milk choc w cheesecake,,,1,
289,Sparkling Water,,,1,
290,Strawberry Sauce,,,1,
291,Tiramisu x2,,,1,
292,Upgrade to Large,,,1,
